DAY,TESTS,POSITIVE,DEAD_TODAY,POSITIVE_RATIO,DEAD_POSITIVE_RATIO,DEAD_TOMORROW
14.3.2020,500,6,0,0.012,0,0
15.3.2020,845,12,0,0.014201183,0,0
16.3.2020,1000,29,0,0.029,0,1
17.3.2020,2000,51,1,0.0255,0.019607843,1
18.3.2020,2500,93,1,0.0372,0.010752688,2
19.3.2020,3000,168,2,0.056,0.011904762,5
20.3.2020,3500,311,5,0.088857143,0.01607717,12
21.3.2020,3500,277,12,0.079142857,0.0433213,9
22.3.2020,3500,289,9,0.082571429,0.031141869,7
23.3.2020,3672,293,7,0.079793028,0.023890785,7
24.3.2020,3952,343,7,0.086791498,0.020408163,15
25.3.2020,5035,561,15,0.11142006,0.026737968,16
26.3.2020,7286,1196,16,0.164150425,0.013377926,17
27.3.2020,7533,2069,17,0.274658171,0.00821653,16
28.3.2020,7641,1704,16,0.22300746,0.009389671,23
29.3.2020,9982,1815,23,0.181827289,0.012672176,37
30.3.2020,11535,1610,37,0.139575206,0.022981366,46
31.3.2020,15422,2704,46,0.175333939,0.017011834,63
1.4.2020,14396,2148,63,0.149208113,0.029329609,79
2.4.2020,18757,2456,79,0.130937783,0.032166124,69
3.4.2020,16160,2786,69,0.17240099,0.024766691,76
4.4.2020,19664,3013,76,0.153224166,0.025224029,73
5.4.2020,20065,3135,73,0.156242213,0.023285486,75
6.4.2020,21400,3148,75,0.147102804,0.023824651,76
7.4.2020,20023,3892,76,0.194376467,0.019527235,87
8.4.2020,24900,4117,87,0.165341365,0.021131892,96
9.4.2020,28578,4056,96,0.141927357,0.023668639,98
10.4.2020,30864,4747,98,0.153803784,0.020644618,95
11.4.2020,33170,5138,95,0.154899005,0.018489685,97
12.4.2020,35720,4789,97,0.134070549,0.02025475,98
13.4.2020,34456,4093,98,0.11878918,0.023943318,107
14.4.2020,33070,4062,107,0.12283036,0.026341704,115
15.4.2020,34090,4281,115,0.125579349,0.026862883,125
16.4.2020,40427,4801,125,0.118757266,0.026036242,126
17.4.2020,40270,4353,126,0.108095356,0.028945555,121
18.4.2020,40520,3783,121,0.093361303,0.031985197,127
19.4.2020,35344,3977,127,0.112522635,0.031933618,123
20.4.2020,39703,4674,123,0.117724101,0.026315789,119
21.4.2020,39429,4611,119,0.116944381,0.025807851,117
22.4.2020,37535,3083,117,0.082136672,0.037950049,115
23.4.2020,40962,3116,115,0.076070504,0.03690629,109
24.4.2020,38351,3122,109,0.081405961,0.034913517,106
25.4.2020,38308,2861,106,0.074684139,0.037049983,99
26.4.2020,30177,2357,99,0.078105842,0.042002546,95
27.4.2020,20143,2131,95,0.105793576,0.044580009,92
28.4.2020,29230,2392,92,0.081833732,0.038461538,89
29.4.2020,43498,2936,89,0.067497356,0.030313351,93
30.4.2020,42004,2615,93,0.062255976,0.035564054,84
1.5.2020,41431,2188,84,0.052810697,0.038391225,78
2.5.2020,36318,1983,78,0.054601025,0.039334342,61
3.5.2020,24001,1670,61,0.069580435,0.0365269461,64
4.5.2020,35771,1614,64,0.045120349,0.0396530359,59
5.5.2020,33283,1832,59,0.055043115,0.0322052402,64
6.5.2020,30303,2253,64,0.074349075,0.0284065691,57
7.5.2020,30395,1977,57,0.065043592,0.0288315629,48
8.5.2020,33687,1848,48,0.054857957,0.0259740260,50
9.5.2020,35605,1546,50,0.043420868,0.0323415265,47
10.5.2020,36187,1542,47,0.042611988,0.030479896,55
11.5.2020,32722,1114,55,0.034044374,0.049371634,53
12.5.2020,37351,1704,53,0.045621268,0.031103286,58
13.5.2020,33332,1639,58,0.049171967,0.035387431,55
14.5.2020,34821,1635,55,0.046954424,0.033639143,48
15.5.2020,38565,1708,48,0.044288862,0.028103044,41
16.5.2020,42236,1610,41,0.038119140,0.025465838,44
17.5.2020,35369,1368,44,0.038677938,0.032163742,31
18.5.2020,25141,1158,31,0.046060220,0.026770293,28
19.5.2020,25382,1022,28,0.040264754,0.027397260,27
20.5.2020,20838,972,27,0.046645551,0.027777777,27
21.5.2020,33633,961,27,0.028573127,0.028095733,27
22.5.2020,37507,952,27,0.025381928,0.028361344,32
23.5.2020,40178,1186,32,0.02951864,0.026981450,32
24.5.2020,24589,1141,32,0.04640286,0.028045574,29
25.5.2020,21492,987,29,0.045924064,0.029381965,28
26.5.2020,19853,948,28,0.047750970,0.029535864,34
27.5.2020,21043,1035,34,0.049185002,0.032850241,30
28.5.2020,33559,1182,30,0.035221550,0.025380710,28
29.5.2020,36155,1141,28,0.031558567,0.024539877,26
30.5.2020,39230,983,26,0.025057354,0.0264496439,25
31.5.2020,35600,839,25,0.023567415,0.0297973778,23
1.6.2020,31525,827,23,0.026233148,0.0278113663,22
2.6.2020,32325,786,22,0.024315545,0.0279898219,24
3.6.2020,52305,867,24,0.016575853,0.0276816608,21
4.6.2020,54234,988,21,0.018217354,0.0212550608,18
5.6.2020,57829,930,18,0.016081896,0.0193548387,21
6.6.2020,35846,878,21,0.024493667,0.0239179954,23
7.6.2020,35335,914,23,0.025866704,0.0251641137,19
8.6.2020,39361,989,19,0.025126394,0.0192113246,18
9.6.2020,37225,993,18,0.026675621,0.0181268882,17
10.6.2020,36521,922,17,0.02524575,0.0184381778,17
11.6.2020,49190,987,17,0.02006505,0.0172239108,15
12.6.2020,41013,1195,15,0.02913710,0.0125523012,14
13.6.2020,45092,1459,14,0.032356072,0.009595613,15
14.6.2020,45176,1562,15,0.034575880,0.009603072,18
15.6.2020,42032,1592,18,0.037875904,0.011306532,17
16.6.2020,46800,1467,17,0.031346153,0.011588275,19
17.6.2020,52901,1429,19,0.027012721,0.013296011,21
18.6.2020,48412,1304,21,0.026935470,0.016104294,23
19.6.2020,41316,1214,23,0.029383290,0.018945634,22
20.6.2020,41112,1248,22,0.030356100,0.017628205,23
21.6.2020,40496,1192,23,0.029435005,0.019295302,24
22.6.2020,41413,1212,24,0.029266172,0.019801980,27
23.6.2020,42982,1268,27,0.029500721,0.021293375,24
24.6.2020,53486,1492,24,0.027895150,0.016085790,21
25.6.2020,52303,1458,21,0.027876030,0.014403292,19
26.6.2020,51198,1396,19,0.027266690,0.013610315,17
27.6.2020,45213,1372,17,0.030345254,0.012390670,15
28.6.2020,48309,1356,15,0.028069303,0.011061946,18
29.6.2020,51014,1374,18,0.026933782,0.013100436,16
30.6.2020,50492,1293,16,0.025608017,0.012374323,19
1.7.2020,52313,1192,19,0.022785923,0.015939597,17
2.7.2020,49714,1186,17,0.023856458,0.014333895,19
3.7.2020,52141,1172,19,0.022477513,0.016211604,20
4.7.2020,48248,1154,20,0.023918089,0.017331022,19
5.7.2020,46414,1148,19,0.024733916,0.016550522,16
6.7.2020,52193,1086,16,0.020807387,0.014732965,19
7.7.2020,50545,1053,19,0.020832921,0.018043684,22
8.7.2020,49302,1041,22,0.021114762,0.021133525,18
9.7.2020,50103,1024,18,0.020437897,0.017578125,23
10.7.2020,48787,1003,23,0.020558754,0.022931206,21
11.7.2020,48813,1016,21,0.020814127,0.020669291,19
12.7.2020,45232,1012,19,0.022373540,0.018774703,19
13.7.2020,46492,1008,19,0.021681149,0.018849206,20
14.7.2020,43231,992,20,0.0229464968,0.020161290,17
15.7.2020,42320,947,17,0.0223771266,0.017951425,21
16.7.2020,42411,933,21,0.0219990097,0.225080385,18
17.7.2020,41215,926,18,0.0224675482,0.019438444,17
18.7.2020,40943,918,17,0.0224214151,0.0185185185,16
19.7.2020,41310,924,16,0.0223674655,0.0173160173,17
20.7.2020,43404,931,17,0.0214496359,0.0182599355,18
21.7.2020,42846,928,18,0.0216589646,0.0193965517,19
22.7.2020,43404,902,19,0.0207814947,0.0210643015,18
23.7.2020,43343,913,18,0.0210645317,0.0197152245,17
24.7.2020,42986,937,17,0.0217977946,0.0181430096,16
25.7.2020,43312,921,16,0.0212643147,0.0173724212,17
26.7.2020,40016,927,17,0.0231657337,0.0183387270,17
27.7.2020,45283,919,17,0.0202945917,0.0184983677,15
28.7.2020,47412,963,15,0.0203113135,0.0155763239,14
29.7.2020,45712,942,14,0.0206072803,0.0148619957,15
30.7.2020,43236,967,15,0.0223656212,0.0155118924,17
31.7.2020,46492,982,17,02112191344,0.01731160896,19
1.8.2020,44846,996,19,0.0222093386,0.01907630522,18
2.8.2020,40247,987,18,0.0245235669,0.01823708206,19
3.8.2020,41301,995,19,0.0240914263,0.01909547738,18
4.8.2020,46249,1083,18,0.023416722,0.01662049861,19
5.8.2020,53842,1178,19,0.021878830,0.01612903225,14
6.8.2020,54494,1153,14,0.021158292,0.01214223764,15
7.8.2020,56726,1185,15,0.020889891,0.01265822784,16
8.8.2020,63842,1172,16,0.018357820,0.01365187713,15
9.8.2020,61446,1182,15,0.019236402,0.01269035532,14
10.8.2020,62219,1193,14,0.01917420,0.01173512154,15
11.8.2020,61716,1183,15,0.019168449,0.0126796280,18
12.8.2020,67237,1212,18,0.018025789,0.0148514851,21
13.8.2020,66892,1243,21,0.018582192,0.0168946098,22
14.8.2020,70192,1226,22,0.017466377,0.0179445350,21
15.8.2020,67214,1256,21,0.018686583,0.0167197452,19
16.8.2020,65956,1192,19,0.018072654,0.0159395973,22
17.8.2020,74846,1233,22,0.016473826,0.0178426601,20
18.8.2020,82318,1263,20,0.015342938,0.0158353127,23
19.8.2020,87223,1303,23,0.014938720,0.0176515732,19
20.8.2020,92301,1412,19,0.015297775,0.0134560906,22
21.8.2020,92227,1203,22,0.013043902,0.0182876142,22
22.8.2020,93007,1309,22,0.014074209,0.0168067226,19
23.8.2020,80302,1217,19,0.015155288,0.0156121610,18
24.8.2020,95943,1443,18,0.015040180,0.0124740124,24
25.8.2020,98231,1502,24,0.015290488,0.0159786950,20
26.8.2020,100109,1313,20,0.013115703,0.0152322924,26
27.8.2020,106111,1491,26,0.014051323,0.0174379610,36
